product_code,brand_name,generic_name,brand_description,department,dosage_form,unit,category,raw_cost,company,full_pack_quantity,unit_quantity
6012710.00,artemether,Artemeter,ARTEMETHER INJ 80MG X 60 {LABETA},Pharmacy,INJECTION (SOLUTION),PACK,Antimalarial drugs,2800,,60,6
6010859.00,artemether(bg),Artemeter,ARTEMETHER(BG) INJ 80MG X 60,Pharmacy,INJECTION (POWDER),PACK,Antimalarial drugs,2060,,60,6
6008713.00,artemether(clarion),Artemeter,ARTEMETHER(CLARION) INJ  X 60,Pharmacy,INJECTION (POWDER),PACK,Antimalarial drugs,1600,,60,6
1007958.00,ARTEMETHER(LION),Artemeter,ARTEMETHER(LION) INJ  X 60,Pharmacy,INJECTION (SOLUTION),PACK,Antimalarial drugs,2400,,60,6
8018.00,Artesunate,Artesunate,ARTESUNATE INJ 60MG X 6,Pharmacy,INJECTION (POWDER),AMPOULES,Antimalarial drugs,4100,,6,1
1008445.00,arthelad,,ARTHELAD TABS 40MG/320MG X 8,Pharmacy,TABLETS,PACK,,290,,8,1
6012341.00,ARTHRITIS CARE PLUS,,ARTHRITIS CARE PLUS TABS  X 100,Pharmacy,TABLETS,BLISTER,Other antirheumatic drugs,4300,,100,10
8936030000000.00,ARTHRITISCARE,,ARTHRITISCARE CAPS  X 100,Pharmacy,CAPSULES,BLISTER,Other antirheumatic drugs,3400,AL-TINEZ PHARMA LTD.,100,10
1007740.00,ARTHROTEC,Diclofenac Sodium\ Misoprostol,ARTHROTEC TABS 75MG X 100,Pharmacy,TABLETS,SACHET,Non-steroidal anti-inflammatory drugs (NSAIDs),7500,WWCVL (PFIZER),100,10
1002962.00,ARTHROTEC,Diclofenac Sodium\ Misoprostol,ARTHROTEC TABS 75MG/200MCG X 20,Pharmacy,TABLETS,BLISTER,Non-steroidal anti-inflammatory drugs (NSAIDs),1980,WWCVL (PFIZER),20,10
6011519.00,ARTOM,,ARTOM TABS 20MG X 30,Pharmacy,TABLETS,BLISTER,,900,,30,10
6011382.00,ASARTAN-H,Losartan and Hydrochlorothiazide,ASARTAN-H TABS 50/12.5 X 30,Pharmacy,TABLETS,BLISTER,Angiotensin Receptor Blocker,1350,,30,10
8902320000000.00,ASOMEX,Amlodipine,ASOMEX TABS 2.5MG X 30,Pharmacy,TABLETS,SACHET,Calcium-channel blockers,1890,,30,10
8902320000000.00,ASOMEX,Amlodipine,ASOMEX TABS 5MG X 30,Pharmacy,TABLETS,SACHET,Calcium-channel blockers,3305,,30,10
1007633.00,ASPHAGE,Metformin,ASPHAGE TABS  X 90,Pharmacy,TABLETS,BLISTER,Biguanides,750,,90,15
15001.00,ASPIRIN,,ASPIRIN (TEVA)  TABS 75MG X 56,Pharmacy,TABLETS,BLISTER,Non-opioid analgesics and antipyretics,360,,56,14
4008500000000.00,ASPIRIN CARDIO,,ASPIRIN CARDIO TABS 100MG X 30,Pharmacy,TABLETS,BLISTER,Antithrombotic drugs and myocardial infaretion,1600,,30,10
5786.00,ASPIRIN,Aspirin,ASPIRIN TABS 300MG X 1000 {MULTICOY},Pharmacy,TABLETS,PCS,Non-opioid analgesics and antipyretics,1180,BOND CHEMICAL INDUSTRIES LIMITED,1000,1
1000010.00,ASPIRIN,Aspirin,ASPIRIN TABS 300MG X 16 {DISPERSIBLE},Pharmacy,TABLETS,BLISTER,Non-opioid analgesics and antipyretics,45,,16,8
8908000000000.00,ASTYFER,Ferrous Salt\Folic Acid,ASTYFER CAPS  X 30,Pharmacy,CAPSULES,BLISTER,Drugs used in iron-deficiency and megaloblastic anaemias.,1580,,30,15
8908000000000.00,Astymin,,ASTYMIN CAPS  X 30,Pharmacy,CAPSULES,BLISTER,Multivitamin and amino acid preparations,1580,,30,15
14896.00,ATACAND PLUS,Candesartan and Hydrochlorothiazide,ATACAND PLUS TABS 16/12.5MG X 28,Pharmacy,TABLETS,SACHET,Angiotensin Receptor Blocker,2505,,28,14
1008033.00,Atacand plus,Candesartan and Hydrochlorothiazide,ATACAND PLUS TABS 16MG/25 X 28,Pharmacy,TABLETS,BLISTER,Angiotensin Receptor Blocker,4000,,28,14
7321840000000.00,ATACAND,Candesartan,ATACAND TABS 16MG X 28,Pharmacy,TABLETS,BLISTER,Angiotensin Receptor Blocker,8945,,28,14
7321840000000.00,ATACAND,Candesartan,ATACAND TABS 8MG X 28,Pharmacy,TABLETS,BLISTER,Angiotensin Receptor Blocker,6495,,28,14
1003318.00,ATADYN (loratidine),Loratadine,ATADYN (LORATIDINE) TABS 10MG X 100,Pharmacy,TABLETS,BLISTER,Antihistamines,1285,,100,10
5017010000000.00,ATENOLOL (TEVA),Atenolol,ATENOLOL (TEVA) TABS 100MG X 28,Pharmacy,TABLETS,BLISTER,BETA-ADRENOCEPTOR DRUGS,1050,,28,14
5017010000000.00,ATENOLOL,Atenolol,ATENOLOL TABS 50MG X 28 [TEVA],Pharmacy,TABLETS,SACHET,BETA-ADRENOCEPTOR DRUGS,1500,,28,14
5012730000000.00,ATENOLOL,Atenolol,ATENOLOL(MULTICOY)  50MG TAB X 28,Pharmacy,TABLETS,BLISTER,BETA-ADRENOCEPTOR DRUGS,370,,28,14
5017010000000.00,ATENOLOL,Atenolol,ATENOLOL(MULTICOY) 100MG TAB X 28,Pharmacy,TABLETS,BLISTER,BETA-ADRENOCEPTOR DRUGS,260,,28,14
6012174.00,atenolol(pocco),Atenolol,ATENOLOL(POCCO) TABS 100MG X 28,Pharmacy,TABLETS,BLISTER,BETA-ADRENOCEPTOR DRUGS,445,,28,14
