product_code,brand_name,generic_name,brand_description,department,dosage_form,unit,category,raw_cost,company,full_pack_quantity,unit_quantity
1008991,MAXIMORAL,,MAXIMORAL TABS  X 30,Pharmacy,TABLETS,BLISTER,,466.4,,30,10
1001555,MAXIMUM PACK,,MAXIMUM PACK TABS  X 30,Pharmacy,TABLETS,PACK,,300,,30,1
6012532,MAXIQUINE,,MAXIQUINE TABS 250MG X 200,Pharmacy,TABLETS,BLISTER,,4335,,200,10
1000999,MAXIRON,,MAXIRON CAPS  X 30,Pharmacy,CAPSULES,BLISTER,,365,,30,15
6010820,MAXOLON,,MAXOLON TABS 10MG X 100,Pharmacy,TABLETS,BLISTER,,1200,,100,20
1003119,mebaal,,MEBAAL TABS 1500MCG X 30,Pharmacy,TABLETS,BLISTER,,1200,,30,3
1003118,mebaal,,MEBAAL TABS 500MCG X 30,Pharmacy,TABLETS,BLISTER,,850,,30,3
6021942,mebexol,Mebendazole,MEBEXOL TABS 100MG X 120,Pharmacy,TABLETS,BLISTER,,1200,NKOYO PHARM LTD,120,6
6008695,MECONERV FORTE,,MECONERV FORTE CAPS  X 30,Pharmacy,CAPSULES,BLISTER,,3200,,30,10
1002858,MEDERAX,,MEDERAX TABS 10MG X 100,Pharmacy,TABLETS,BLISTER,,550,,100,10
6010376,MEDICA,,MEDICA LOZENGES  X 36,Pharmacy,LOZENGES,BLISTER,,1400,,36,12
1001350,medmoral,,MEDMORAL TABS 5000IU X 30,Pharmacy,TABLETS,BLISTER,,250,,30,10
1002722,MEDRAX,,MEDRAX TABS  X 100,Pharmacy,TABLETS,BLISTER,,600,,100,10
6009236,mefdol,,MEFDOL TABS 250MG X 30,Pharmacy,TABLETS,BLISTER,,850,,30,10
6010301,mega c(nature field),,MEGA C(NATURE FIELD) TABS  X 100,Pharmacy,TABLETS,BLISTER,,6000,,100,10
6012864,mega calcium blister,,MEGA CALCIUM BLISTER (N/F)  TABS  X 100,Pharmacy,TABLETS,BLISTER,,5200,,100,10
6009218,mega calcuim(nature field),,MEGA CALCUIM(NATURE FIELD)   X 60,Pharmacy,,PCS,,2900,,60,1
1001945,MEKO INHALER,,MEKO INHALER   X 6,Pharmacy,,BLISTER,,760,,6,1
6054582,melanov mr,Gliclazide,MELANOV MR TABS 60MG X 30,Pharmacy,TABLETS,BLISTER,,1700,MICRO NOVA PHARM.IND LIMITED,30,10
6054581,MELANOV,Gliclazide,MELANOV TABS 80MG X 30,Pharmacy,TABLETS,BLISTER,,1400,MICRO NOVA PHARM.IND LIMITED,30,10
6008901,melatonin,,MELATONIN (MULTICOY)  CAPS  X 240,Pharmacy,CAPSULES,PCS,,1915,,240,1
1002429,MEN`S POTENT,,MEN`S POTENT TABS  X 60,Pharmacy,TABLETS,JAR,,198375,,60,1
6012060,MENTHODEX,,MENTHODEX LOZENGES  X 24,Pharmacy,LOZENGES,SACHET,,400,,24,1
